Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,0.100000,0.120000,0.100000,0.120000,0.120000,17300
2016-01-12,0.120000,0.120000,0.080000,0.080000,0.080000,115900
2016-01-13,0.080000,0.110000,0.080000,0.100000,0.100000,34900
2016-01-14,0.100000,0.120000,0.090000,0.120000,0.120000,121400
2016-01-15,0.100000,0.110000,0.100000,0.100000,0.100000,5700
2016-01-19,0.100000,0.110000,0.100000,0.110000,0.110000,13700
2016-01-20,0.110000,0.120000,0.070000,0.080000,0.080000,167600
2016-01-21,0.080000,0.100000,0.080000,0.100000,0.100000,142900
2016-01-22,0.110000,0.120000,0.110000,0.120000,0.120000,92900
2016-01-25,0.120000,0.150000,0.120000,0.150000,0.150000,11200
2016-01-26,0.120000,0.130000,0.100000,0.130000,0.130000,142400
2016-01-27,0.130000,0.130000,0.130000,0.130000,0.130000,30700
2016-01-28,0.130000,0.180000,0.110000,0.150000,0.150000,626000
2016-01-29,0.150000,0.200000,0.150000,0.190000,0.190000,208700
2016-02-01,0.190000,0.200000,0.180000,0.190000,0.190000,85100
2016-02-02,0.200000,0.200000,0.180000,0.190000,0.190000,88900
2016-02-03,0.180000,0.180000,0.140000,0.180000,0.180000,106200
2016-02-04,0.180000,0.180000,0.090000,0.130000,0.130000,196600
2016-02-05,0.150000,0.150000,0.110000,0.130000,0.130000,143200
2016-02-08,0.120000,0.140000,0.110000,0.140000,0.140000,137900
2016-02-09,0.140000,0.150000,0.140000,0.140000,0.140000,31100
2016-02-10,0.160000,0.160000,0.140000,0.140000,0.140000,13500
2016-02-11,0.140000,0.140000,0.140000,0.140000,0.140000,6900
2016-02-12,0.130000,0.140000,0.120000,0.120000,0.120000,116000
2016-02-16,0.120000,0.130000,0.110000,0.130000,0.130000,101700
2016-02-17,0.120000,0.130000,0.120000,0.130000,0.130000,72000
2016-02-18,0.130000,0.130000,0.130000,0.130000,0.130000,3000
2016-02-19,0.130000,0.130000,0.130000,0.130000,0.130000,6800
2016-02-22,0.130000,0.130000,0.130000,0.130000,0.130000,6500
2016-02-23,0.140000,0.140000,0.140000,0.140000,0.140000,15800
2016-02-24,0.130000,0.140000,0.130000,0.130000,0.130000,48800
2016-02-25,0.130000,0.130000,0.130000,0.130000,0.130000,33400
2016-02-26,0.130000,0.130000,0.130000,0.130000,0.130000,0
2016-02-29,0.140000,0.140000,0.120000,0.120000,0.120000,7300
2016-03-01,0.120000,0.130000,0.110000,0.120000,0.120000,27000
2016-03-02,0.130000,0.130000,0.110000,0.130000,0.130000,301000
2016-03-03,0.130000,0.140000,0.130000,0.140000,0.140000,46900
2016-03-04,0.120000,0.130000,0.120000,0.130000,0.130000,125500
2016-03-07,0.130000,0.130000,0.130000,0.130000,0.130000,16300
2016-03-08,0.130000,0.130000,0.120000,0.120000,0.120000,6600
2016-03-09,0.120000,0.130000,0.100000,0.120000,0.120000,59000
2016-03-10,0.110000,0.130000,0.110000,0.130000,0.130000,45100
2016-03-11,0.130000,0.140000,0.110000,0.120000,0.120000,18900
2016-03-14,0.120000,0.140000,0.120000,0.130000,0.130000,36500
2016-03-15,0.120000,0.130000,0.120000,0.130000,0.130000,3000
2016-03-16,0.130000,0.140000,0.130000,0.140000,0.140000,61600
2016-03-17,0.140000,0.140000,0.140000,0.140000,0.140000,24800
2016-03-18,0.160000,0.160000,0.140000,0.140000,0.140000,4600
2016-03-21,0.140000,0.150000,0.140000,0.140000,0.140000,14600
2016-03-22,0.140000,0.140000,0.140000,0.140000,0.140000,17900
2016-03-23,0.140000,0.160000,0.140000,0.140000,0.140000,82300
2016-03-24,0.130000,0.140000,0.130000,0.130000,0.130000,43400
2016-03-28,0.140000,0.140000,0.140000,0.140000,0.140000,23500
2016-03-29,0.140000,0.140000,0.140000,0.140000,0.140000,12900
2016-03-30,0.140000,0.160000,0.140000,0.140000,0.140000,8200
2016-03-31,0.160000,0.160000,0.140000,0.140000,0.140000,19700
2016-04-01,0.140000,0.140000,0.140000,0.140000,0.140000,3100
2016-04-04,0.140000,0.140000,0.140000,0.140000,0.140000,5300
2016-04-05,0.130000,0.140000,0.130000,0.130000,0.130000,23700
2016-04-06,0.130000,0.140000,0.100000,0.140000,0.140000,155800
2016-04-07,0.140000,0.140000,0.120000,0.120000,0.120000,41400
2016-04-08,0.130000,0.130000,0.130000,0.130000,0.130000,6700
2016-04-11,0.140000,0.160000,0.130000,0.160000,0.160000,72900
2016-04-12,0.160000,0.160000,0.140000,0.140000,0.140000,57500
2016-04-13,0.130000,0.160000,0.130000,0.140000,0.140000,25200
2016-04-14,0.140000,0.140000,0.140000,0.140000,0.140000,11400
2016-04-15,0.140000,0.150000,0.140000,0.150000,0.150000,31100
2016-04-18,0.150000,0.150000,0.140000,0.150000,0.150000,100800
2016-04-19,0.150000,0.150000,0.150000,0.150000,0.150000,55100
2016-04-20,0.160000,0.160000,0.160000,0.160000,0.160000,21100
2016-04-21,0.160000,0.490000,0.160000,0.220000,0.220000,475000
2016-04-22,0.220000,0.220000,0.160000,0.200000,0.200000,173200
2016-04-25,0.190000,0.200000,0.190000,0.200000,0.200000,32000
2016-04-26,0.180000,0.220000,0.180000,0.200000,0.200000,19000
2016-04-27,0.200000,0.230000,0.200000,0.230000,0.230000,65100
2016-04-28,0.230000,0.260000,0.200000,0.260000,0.260000,117400
2016-04-29,0.250000,0.280000,0.230000,0.240000,0.240000,115300
2016-05-02,0.240000,0.250000,0.220000,0.250000,0.250000,16000
2016-05-03,0.260000,0.260000,0.240000,0.240000,0.240000,800
2016-05-04,0.250000,0.260000,0.240000,0.250000,0.250000,48000
2016-05-05,0.250000,0.250000,0.220000,0.240000,0.240000,14900
2016-05-06,0.240000,0.240000,0.220000,0.220000,0.220000,6200
2016-05-09,0.230000,0.240000,0.210000,0.210000,0.210000,21700
2016-05-10,0.170000,0.210000,0.170000,0.200000,0.200000,73500
2016-05-11,0.200000,0.200000,0.170000,0.200000,0.200000,53600
2016-05-12,0.190000,0.200000,0.180000,0.180000,0.180000,40000
2016-05-13,0.200000,0.200000,0.180000,0.180000,0.180000,39100
2016-05-16,0.200000,0.290000,0.200000,0.250000,0.250000,255800
2016-05-17,0.300000,0.300000,0.210000,0.210000,0.210000,31900
2016-05-18,0.210000,0.240000,0.210000,0.220000,0.220000,36900
2016-05-19,0.200000,0.230000,0.200000,0.200000,0.200000,11200
2016-05-20,0.220000,0.240000,0.210000,0.220000,0.220000,30200
2016-05-23,0.220000,0.230000,0.220000,0.220000,0.220000,14000
2016-05-24,0.220000,0.220000,0.210000,0.220000,0.220000,8800
2016-05-25,0.200000,0.220000,0.200000,0.220000,0.220000,38300
2016-05-26,0.220000,0.220000,0.190000,0.190000,0.190000,10100
2016-05-27,0.190000,0.230000,0.190000,0.200000,0.200000,16100
2016-05-31,0.220000,0.250000,0.200000,0.200000,0.200000,17000
2016-06-01,0.230000,0.230000,0.200000,0.210000,0.210000,5500
2016-06-02,0.210000,0.210000,0.180000,0.210000,0.210000,33500
2016-06-03,0.210000,0.220000,0.180000,0.220000,0.220000,23200
2016-06-06,0.190000,0.210000,0.190000,0.190000,0.190000,3900
2016-06-07,0.200000,0.230000,0.190000,0.230000,0.230000,40200
2016-06-08,0.220000,0.220000,0.220000,0.220000,0.220000,18700
2016-06-09,0.220000,0.220000,0.220000,0.220000,0.220000,5800
2016-06-10,0.240000,0.240000,0.180000,0.180000,0.180000,25600
2016-06-13,0.210000,0.210000,0.200000,0.200000,0.200000,14100
2016-06-14,0.200000,0.200000,0.200000,0.200000,0.200000,0
2016-06-15,0.210000,0.210000,0.190000,0.210000,0.210000,23800
2016-06-16,0.190000,0.190000,0.190000,0.190000,0.190000,500
2016-06-17,0.200000,0.200000,0.190000,0.190000,0.190000,4700
2016-06-20,0.200000,0.200000,0.190000,0.200000,0.200000,6200
2016-06-21,0.200000,0.200000,0.200000,0.200000,0.200000,8100
2016-06-22,0.200000,0.200000,0.200000,0.200000,0.200000,0
2016-06-23,0.190000,0.190000,0.180000,0.180000,0.180000,52800
2016-06-24,0.170000,0.170000,0.170000,0.170000,0.170000,4300
2016-06-27,0.180000,0.180000,0.150000,0.160000,0.160000,259900
2016-06-28,0.160000,0.160000,0.160000,0.160000,0.160000,4400
2016-06-29,0.180000,0.210000,0.170000,0.210000,0.210000,12900
2016-06-30,0.170000,0.200000,0.170000,0.200000,0.200000,30400
2016-07-01,0.190000,0.200000,0.190000,0.190000,0.190000,16000
2016-07-05,0.190000,0.190000,0.190000,0.190000,0.190000,2800
2016-07-06,0.180000,0.190000,0.180000,0.190000,0.190000,7400
2016-07-07,0.190000,0.190000,0.190000,0.190000,0.190000,1100
2016-07-08,0.190000,0.190000,0.180000,0.180000,0.180000,20700
2016-07-11,0.200000,0.200000,0.170000,0.180000,0.180000,65400
2016-07-12,0.170000,0.250000,0.170000,0.200000,0.200000,53800
2016-07-13,0.210000,0.210000,0.180000,0.180000,0.180000,2000
2016-07-14,0.180000,0.180000,0.180000,0.180000,0.180000,4200
2016-07-15,0.170000,0.200000,0.170000,0.170000,0.170000,19500
2016-07-18,0.170000,0.200000,0.170000,0.180000,0.180000,18800
2016-07-19,0.180000,0.180000,0.170000,0.170000,0.170000,20500
2016-07-20,0.190000,0.190000,0.170000,0.180000,0.180000,56600
2016-07-21,0.180000,0.190000,0.180000,0.180000,0.180000,9300
2016-07-22,0.200000,0.230000,0.200000,0.230000,0.230000,81600
2016-07-25,0.200000,0.210000,0.200000,0.210000,0.210000,15800
2016-07-26,0.210000,0.210000,0.210000,0.210000,0.210000,35000
2016-07-27,0.250000,0.250000,0.210000,0.240000,0.240000,46700
2016-07-28,0.230000,0.230000,0.220000,0.220000,0.220000,70100
2016-07-29,0.220000,0.240000,0.220000,0.230000,0.230000,88300
2016-08-01,0.230000,0.230000,0.200000,0.210000,0.210000,22000
2016-08-02,0.230000,0.230000,0.200000,0.220000,0.220000,34200
2016-08-03,0.230000,0.230000,0.200000,0.220000,0.220000,30300
2016-08-04,0.230000,0.230000,0.220000,0.230000,0.230000,7800
2016-08-05,0.230000,0.230000,0.230000,0.230000,0.230000,8100
2016-08-08,0.180000,0.230000,0.180000,0.220000,0.220000,27600
2016-08-09,0.220000,0.220000,0.200000,0.200000,0.200000,38700
2016-08-10,0.200000,0.200000,0.180000,0.200000,0.200000,75500
2016-08-11,0.180000,0.210000,0.180000,0.190000,0.190000,9900
2016-08-12,0.190000,0.210000,0.190000,0.210000,0.210000,59000
2016-08-15,0.220000,0.220000,0.200000,0.210000,0.210000,28100
2016-08-16,0.230000,0.230000,0.200000,0.200000,0.200000,67800
2016-08-17,0.210000,0.230000,0.200000,0.200000,0.200000,13300
2016-08-18,0.170000,0.200000,0.170000,0.200000,0.200000,19000
2016-08-19,0.180000,0.200000,0.170000,0.200000,0.200000,20900
2016-08-22,0.180000,0.230000,0.180000,0.190000,0.190000,114300
2016-08-23,0.210000,0.210000,0.140000,0.160000,0.160000,173300
2016-08-24,0.150000,0.200000,0.150000,0.200000,0.200000,54900
2016-08-25,0.180000,0.200000,0.180000,0.180000,0.180000,84900
2016-08-26,0.200000,0.200000,0.180000,0.180000,0.180000,5600
2016-08-29,0.180000,0.190000,0.180000,0.190000,0.190000,11500
2016-08-30,0.190000,0.190000,0.190000,0.190000,0.190000,7700
2016-08-31,0.200000,0.200000,0.200000,0.200000,0.200000,1700
2016-09-01,0.190000,0.230000,0.180000,0.220000,0.220000,43600
2016-09-02,0.220000,0.220000,0.200000,0.200000,0.200000,25100
2016-09-06,0.200000,0.200000,0.190000,0.190000,0.190000,17900
2016-09-07,0.190000,0.190000,0.190000,0.190000,0.190000,3900
2016-09-08,0.190000,0.190000,0.190000,0.190000,0.190000,9800
2016-09-09,0.190000,0.200000,0.190000,0.190000,0.190000,3700
2016-09-12,0.190000,0.200000,0.190000,0.200000,0.200000,32000
2016-09-13,0.220000,0.230000,0.190000,0.190000,0.190000,116800
2016-09-14,0.190000,0.190000,0.190000,0.190000,0.190000,6300
2016-09-15,0.220000,0.220000,0.190000,0.190000,0.190000,8400
2016-09-16,0.220000,0.230000,0.220000,0.230000,0.230000,13600
2016-09-19,0.230000,0.230000,0.190000,0.190000,0.190000,7100
2016-09-20,0.190000,0.200000,0.190000,0.190000,0.190000,17100
2016-09-21,0.200000,0.200000,0.170000,0.170000,0.170000,7400
2016-09-22,0.200000,0.210000,0.190000,0.210000,0.210000,18400
2016-09-23,0.210000,0.220000,0.190000,0.220000,0.220000,13200
2016-09-26,0.220000,0.220000,0.220000,0.220000,0.220000,2600
2016-09-27,0.200000,0.200000,0.190000,0.190000,0.190000,12900
2016-09-28,0.200000,0.200000,0.170000,0.170000,0.170000,97700
2016-09-29,0.180000,0.180000,0.160000,0.170000,0.170000,143800
2016-09-30,0.160000,0.210000,0.160000,0.200000,0.200000,21700
2016-10-03,0.200000,0.200000,0.200000,0.200000,0.200000,12100
2016-10-04,0.200000,0.220000,0.200000,0.200000,0.200000,61300
2016-10-05,0.220000,0.220000,0.190000,0.200000,0.200000,48400
2016-10-06,0.220000,0.220000,0.190000,0.190000,0.190000,32000
2016-10-07,0.190000,0.210000,0.190000,0.190000,0.190000,3000
2016-10-10,0.190000,0.210000,0.190000,0.190000,0.190000,156400
2016-10-11,0.180000,0.180000,0.180000,0.180000,0.180000,3300
2016-10-12,0.180000,0.180000,0.180000,0.180000,0.180000,0
2016-10-13,0.190000,0.190000,0.180000,0.190000,0.190000,37900
2016-10-14,0.180000,0.180000,0.160000,0.170000,0.170000,104800
2016-10-17,0.160000,0.190000,0.150000,0.190000,0.190000,147900
2016-10-18,0.180000,0.180000,0.170000,0.180000,0.180000,9100
2016-10-19,0.180000,0.210000,0.180000,0.180000,0.180000,55000
2016-10-20,0.180000,0.200000,0.180000,0.190000,0.190000,19400
2016-10-21,0.190000,0.190000,0.190000,0.190000,0.190000,3000
2016-10-24,0.190000,0.190000,0.190000,0.190000,0.190000,5700
2016-10-25,0.180000,0.200000,0.170000,0.170000,0.170000,93600
2016-10-26,0.170000,0.170000,0.150000,0.170000,0.170000,68500
2016-10-27,0.160000,0.170000,0.160000,0.170000,0.170000,52200
2016-10-28,0.160000,0.170000,0.140000,0.170000,0.170000,197400
2016-10-31,0.170000,0.170000,0.160000,0.160000,0.160000,17500
2016-11-01,0.160000,0.170000,0.160000,0.160000,0.160000,20100
2016-11-02,0.160000,0.160000,0.160000,0.160000,0.160000,5000
2016-11-03,0.160000,0.160000,0.150000,0.150000,0.150000,38800
2016-11-04,0.160000,0.160000,0.160000,0.160000,0.160000,1000
2016-11-07,0.160000,0.160000,0.150000,0.160000,0.160000,14200
2016-11-08,0.160000,0.190000,0.160000,0.160000,0.160000,31400
2016-11-09,0.160000,0.160000,0.160000,0.160000,0.160000,22600
2016-11-10,0.160000,0.190000,0.160000,0.180000,0.180000,99900
2016-11-11,0.160000,0.190000,0.160000,0.190000,0.190000,68900
2016-11-14,0.170000,0.200000,0.160000,0.190000,0.190000,48700
2016-11-15,0.200000,0.200000,0.170000,0.180000,0.180000,177300
2016-11-16,0.180000,0.180000,0.170000,0.170000,0.170000,62400
2016-11-17,0.180000,0.180000,0.160000,0.160000,0.160000,6800
2016-11-18,0.190000,0.190000,0.160000,0.160000,0.160000,14900
2016-11-21,0.160000,0.180000,0.160000,0.160000,0.160000,51400
2016-11-22,0.170000,0.170000,0.160000,0.160000,0.160000,18100
2016-11-23,0.170000,0.190000,0.160000,0.170000,0.170000,33200
2016-11-25,0.180000,0.180000,0.180000,0.180000,0.180000,33100
2016-11-28,0.180000,0.190000,0.170000,0.190000,0.190000,63600
2016-11-29,0.170000,0.190000,0.170000,0.170000,0.170000,52800
2016-11-30,0.180000,0.200000,0.170000,0.190000,0.190000,81900
2016-12-01,0.190000,0.200000,0.180000,0.180000,0.180000,31000
2016-12-02,0.180000,0.180000,0.170000,0.170000,0.170000,147800
